libuv 1.46.0-1
libva 2.19.0-2
libva-intel-driver 2.4.1-2
libva-mesa-driver 1:23.1.6-4
libva-utils 2.19.0-1
libva-vdpau-driver 0.7.4-6
libvdpau 1.5-2
libverto 0.3.2-4
libvisio 0.1.7-9
libvorbis 1.3.7-3
libvpx 1.13.0-1
libvterm 0.3.3-1
libwacom 2.8.0-1
libwebp 1.3.1-1
libwebsockets 4.3.2-3
libwmf 0.2.13-1
libwpd 0.10.3-4
libwpe 1.14.1-2
libwpg 0.3.4-1
libwps 0.4.14-1
libx11 1.8.6-1
libxau 1.0.11-2
libxaw 1.0.15-1
libxcb 1.16-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.1-3
libxcvt 0.1.2-1
libxdamage 1.1.6-1
libxdg-basedir 1.2.3-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfce4ui 4.18.4-1
libxfce4util 4.18.1-1
libxfixes 6.0.1-1
libxfont2 2.0.6-2
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxkbcommon 1.5.0-1
libxkbcommon-x11 1.5.0-1
libxkbfile 1.1.2-1
libxklavier 5.4-5
libxml++2.6 2.42.1-1
libxml2 2.11.5-1
libxmu 1.1.4-1
libxp 1.0.4-2
libxpm 3.5.16-1
libxpresent 1.0.1-1
libxrandr 1.5.3-1
libxrender 0.9.11-1
libxshmfence 1.3.2-1
libxslt 1.1.38-1
libxss 1.2.4-1
libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libyuv r2322+3aebf69d-1
libzen 0.4.41-1
libzip 1.10.1-1
libzmf 0.0.2-14
licenses 20230903-1
lightdm 1:1.32.0-4
lightdm-gtk-greeter 1:2.0.8-3
lilv 0.24.20-2
linux-api-headers 6.4-1
linux-firmware 20230804.7be2766d-2
linux-firmware-whence 20230804.7be2766d-2
linux-lts 6.1.51-1
linux-lts-headers 6.1.51-1
llvm 16.0.6-1
llvm-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
lmms 1.2.2-16
lpsolve 5.5.2.11-2
lsb-release 2.0.r53.a86f885-1
lsof 4.98.0-1
lua 5.4.6-1
lua53 5.3.6-1
luajit 2.1.1692616192-1
luarocks 3.9.2-1
lv2 1.18.10-1
lxappearance 0.6.3-4
lynis 3.0.9-1
lynx 2.8.9-7
lz4 1:1.9.4-1
lzip 1.23-2
lzo 2.10-5
m17n-db 1.8.3-1
m17n-lib 1.8.4-1
m4 1.4.19-3
mailcap 2.1.54-1
maim 5.7.4-6
make 4.4.1-2
man-db 2.11.2-1
mariadb-clients 11.1.2-1
mariadb-libs 11.1.2-1
mbedtls 3.4.1-1
md4c 0.4.8-1
mdadm 4.2-2
mediainfo 23.07-1
mesa 1:23.1.6-4
mesa-utils 9.0.0-2
mesa-vdpau 1:23.1.6-4
meson 1.2.1-1
minecraft-launcher 1:1.0.1221-1
minicom 2.8-1
miniupnpc 2.2.5-1
minizip 1:1.3-1
mjpegtools 2.2.1-2
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-2
mpfr 4.2.1-1
mpg123 1.31.3-1
mpv 1:0.36.0-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mujs 1.3.3-1
mypaint-brushes1 1.3.1-1
ncurses 6.4_20230520-1
nemo 5.8.4-1
neomutt 20230517-1
neon 0.32.5-2
neovim 0.9.1-3
net-tools 2.10-2
netpbm 10.73.43-1
nettle 3.9.1-1
newsboat 2.32-1
nginx 1.24.0-1
ngrok 3.3.4-1
ninja 1.11.1-3
nmap 7.94-2
node-gyp 9.4.0-1
nodejs-lts-fermium 14.21.3-1
nodejs-nopt 7.2.0-1
notmuch-runtime 0.37-3
noto-fonts 1:23.9.1-1
noto-fonts-cjk 20230817-1
noto-fonts-emoji 20220920-1
noto-fonts-extra 1:23.9.1-1
npm 9.8.1-1
npth 1.6-4
nspr 4.35-1
nss 3.92-1
nvidia-dkms 535.104.05-1
nvidia-prime 1.0-4
nvidia-utils 535.104.05-1
nvtop 3.0.2-1
obs-studio 29.1.3-1
obsidian 1.4.5-1
ocl-icd 2.3.2-1
odt2txt 0.5-5
onetbb 2021.9.0-1
oniguruma 6.9.8-1
openal 1.23.1-1
opencl-headers 2:2023.04.17-2
opencl-nvidia 535.104.05-1
opencore-amr 0.1.6-1
openexr 3.2.0-2
openjpeg2 2.5.0-3
openmotif 2.3.8-3
openmpi 4.1.5-3
openocd 1:0.12.0-2
openpmix 4.2.5-1
opensp 1.5.2-10
openssh 9.4p1-2
openssh-askpass 2.1.0-4
openssl 3.1.2-1
openssl-1.1 1.1.1.v-1
openvpn 2.6.6-1
optimus-manager 1.5-4
opus 1.4-1
orc 0.4.34-1
os-prober 1.81-1
p11-kit 0.25.0-1
p7zip 1:17.05-1
pacman 6.0.2-7
pacman-contrib 1.9.1-1
pacman-mirrorlist 20230820-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
parallel 20230822-1
parted 3.6-1
pass 1.7.4-3
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
peek 1.5.1-3
perl 5.38.0-1
perl-clone 0.46-2
perl-encode-locale 1.05-11
perl-error 0.17029-5
perl-file-listing 6.16-2
perl-html-parser 3.81-2
perl-html-tagset 3.20-14
perl-http-cookies 6.10-4
perl-http-daemon 6.16-2
perl-http-date 6.06-1
perl-http-message 6.44-2
perl-http-negotiate 6.01-12
perl-io-html 1.004-4
perl-io-socket-ssl 2.083-2
perl-libwww 6.67-2
perl-locale-gettext 1.07-14
perl-lwp-mediatypes 6.04-4
perl-lwp-protocol-https 6.10-5
perl-mailtools 2.21-7
perl-mozilla-ca 20230821-1
perl-net-http 6.23-2
perl-net-ssleay 1.92-3
perl-timedate 2.33-5
perl-try-tiny 0.31-3
perl-uri 5.20-1
perl-www-robotrules 6.02-12
picocom 3.1-3
picom 10.2-1
pinentry 1.2.1-1
pipewire 1:0.3.79-1
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
playerctl 2.4.1-3
polkit 123-1
polkit-qt5 0.114.0-1
polybar 3.6.3-3
poppler 23.08.0-1
poppler-data 0.4.12-1
poppler-glib 23.08.0-1
popt 1.19-1
portaudio 1:19.7.0-2
postgresql-libs 15.4-2
postman-bin 10.17.0-1
ppp 2.4.9-3
procps-ng 4.0.4-1
procs 0.14.0-1
psmisc 23.6-1
pulseaudio 16.1-6
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-jack 16.1-6
python 3.11.5-1
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
python-botocore 1.31.25-1
python-cairo 1.24.0-1
python-certifi 2023.07.22-1
python-cffi 1.15.1-4
python-click 8.1.7-1
python-colorama 0.4.6-2
python-cryptography 41.0.3-1
python-dateutil 2.8.2-5
python-docutils 1:0.20.1-1
python-fastjsonschema 2.18.0-1
python-future 0.18.3-1
python-gobject 3.44.1-4
python-gpgme 1.22.0-1
python-i3ipc 2.2.1-4
python-inflect 7.0.0-1
python-jaraco.context 4.3.0-3
python-jaraco.functools 3.9.0-1
python-jaraco.text 3.11.1-3
python-jmespath 1.0.1-2
python-marshmallow 3.19.0-2
python-more-itertools 10.1.0-1
python-ordered-set 4.1.0-4
python-packaging 23.1-1
python-parsedatetime 2.6-6
python-pip 23.2.1-1
python-platformdirs 3.10.0-1
python-ply 3.11-12
python-pyasn1 0.4.8-8
python-pycparser 2.21-5
python-pydantic 1.10.9-1
python-pyopenssl 23.2.0-1
python-pytz 2023.3-1
python-pywal 3.3.0-8
python-rsa 4.9-2
python-s3transfer 0.6.2-1
python-setuptools 1:68.0.0-1
python-six 1.16.0-8
python-tomli 2.0.1-3
python-tqdm 4.66.1-2
python-trove-classifiers 2023.8.7-1
python-typing_extensions 4.7.1-1
python-tzlocal 1:5.0.1-1
python-urllib3 1.26.15-1
python-urwid 2.1.2.r63.g3c21a42-1
python-validate-pyproject 0.13-1
python-wheel 0.40.0-3
python-xcffib 1.2.0-2
python-xlib 0.33-2
python-xpybutil 0.0.6-5
python-yaml 6.0.1-2
qca-qt5 2.3.7-1
qpwgraph 0.5.2-1
qrencode 4.1.1-2
qt5-base 5.15.10+kde+r155-1
qt5-declarative 5.15.10+kde+r31-1
qt5-multimedia 5.15.10+kde+r3-1
qt5-speech 5.15.10+kde+r1-1
qt5-svg 5.15.10+kde+r8-1
qt5-tools 5.15.10+kde+r3-2
qt5-translations 5.15.10-1
qt5-wayland 5.15.10+kde+r57-1
qt5-x11extras 5.15.10-1
qt6-base 6.5.2-1
qt6-svg 6.5.2-1
qt6-translations 6.5.2-1
qtel 19.09.2-1
raptor 2.0.16-3
rasqal 1:0.9.33-6
rav1e 0.6.6-1
re2 1:20230901-1
readline 8.2.001-2
redis 7.0.12-1
redland 1:1.0.17-8
reflector 2023-1
rhash 1.4.3-1
ripgrep 13.0.0-3
rlwrap 0.46.1-1
rnnoise 0.4.1-1
rofi 1.7.5-2
rrdtool 1.8.0-3
rsync 3.2.7-4
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.3.0-1
run-parts 5.5-1
runc 1.1.9-1
sbc 2.0-1
sdl12-compat 1.2.64-1
sdl2 2.28.3-1
sdl2_image 2.6.3-1
sdl2_net 1:2.2.0-1
sdl2_ttf 2.20.2-1
sdl_image 1.2.12-8
seahorse 1:43.0-2
sed 4.9-3
semver 7.5.0-1
sequoia-sqv 1.1.0-1
serd 0.30.16-1
serf 1.3.9-8
sfsexp 1.4.1-1
sgml-common 0.6.3-8
shaderc 2023.4-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slack-desktop 4.33.90-1
slang 2.3.3-2
slop 7.6-3
snappy 1.1.9-2
sndio 1.9.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
source-highlight 3.1.9-11
spandsp 0.0.6-5
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
spotify-launcher 0.5.1-1
sqlite 3.43.0-1
squashfs-tools 4.6.1-1
sratom 0.6.14-1
srt 1.5.2-1
startup-notification 0.12-8
steam 1.0.0.78-1
steamcmd latest-3
stfl 0.24-5
stk 4.6.2-2
stow 2.3.1-3
strace 6.4-1
subversion 1.14.2-9
sudo 1.9.14.p3-1
suitesparse 7.1.0-2
svt-av1 1.7.0-1
svt-hevc 1.5.1-2
sxiv 26-1
systemd 254.1-1
systemd-libs 254.1-1
systemd-sysvcompat 254.1-1
talloc 2.4.1-1
tar 1.35-1
tcl 8.6.13-1
tdb 1.4.9-1
texinfo 7.0.3-1
textql-git 2.0.3.r60.fca00ec-1
tidy 5.8.0-2
timeshift 23.07.1-2
tinyxml2 9.0.0-2
tk 8.6.13-2
tlp 1.6.0-1
tmux 3.3_a-7
tokei 12.1.2-1
tpm2-tss 4.0.1-1
tracker3 3.5.3-2
transmission-cli 4.0.3-1
tree 2.1.1-1
tree-sitter 0.20.10-1
tslib 1.22-1
ttf-dejavu 2.37+18+g9b5d1b2f-4
ttf-font-awesome 6.4.2-1
ttf-iosevka-nerd 3.0.2-1
ttf-jetbrains-mono 2.304-1
ttf-joypixels 8.0.0-1
ttf-liberation 2.1.5-1
tty-clock-git 1:2.3.r40.f2f847c-2
ttyd 1.7.3-1
